epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,136573,0.43835,0.28113,0.94432,0.98465,0.98175,0.99268,0.94108,0.2925,0.25118,0.8016,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,138014,0.43707,0.28025,0.94318,0.98501,0.98141,0.99266,0.93972,0.29223,0.24998,0.80154,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,139453,0.43857,0.27931,0.94153,0.98464,0.98175,0.9927,0.94124,0.29196,0.24829,0.80127,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,140897,0.43259,0.27648,0.93785,0.98378,0.98268,0.99269,0.94143,0.29157,0.24643,0.80091,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,142337,0.43064,0.2769,0.93968,0.98404,0.98268,0.99271,0.94153,0.29137,0.24335,0.80098,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,143777,0.43093,0.27841,0.93876,0.98437,0.98256,0.99267,0.94166,0.29104,0.24047,0.8009,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,145218,0.43004,0.27492,0.93619,0.98337,0.98353,0.99273,0.94243,0.29065,0.23662,0.80055,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,146661,0.42816,0.27364,0.93699,0.98405,0.98338,0.99276,0.94279,0.29005,0.23562,0.79999,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,148096,0.42631,0.27403,0.93758,0.98397,0.9836,0.99277,0.94277,0.28974,0.23563,0.80006,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,149529,0.42395,0.26995,0.93109,0.98384,0.9836,0.9928,0.94262,0.28947,0.23443,0.79974,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,150966,0.42231,0.26772,0.93187,0.98424,0.98337,0.99282,0.94212,0.28907,0.23193,0.79915,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,152397,0.4192,0.26784,0.92979,0.98315,0.98378,0.99284,0.9431,0.28876,0.22961,0.79881,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,153827,0.41736,0.26601,0.93073,0.98382,0.98322,0.99289,0.94251,0.28814,0.22569,0.79834,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,155254,0.41765,0.26478,0.93087,0.98358,0.98372,0.99291,0.94336,0.28777,0.22451,0.79798,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,156682,0.41515,0.26448,0.9284,0.98192,0.98464,0.9929,0.94263,0.28738,0.22562,0.79722,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,158109,0.41158,0.26272,0.92764,0.98248,0.98476,0.99293,0.94356,0.28684,0.22681,0.79648,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,159537,0.41359,0.26181,0.92627,0.98327,0.98422,0.99296,0.94352,0.28653,0.2241,0.79596,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,160964,0.40854,0.25907,0.92236,0.98348,0.98429,0.99294,0.94357,0.28633,0.22215,0.7954,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,162396,0.40731,0.2569,0.92497,0.98349,0.98369,0.99292,0.94354,0.28608,0.22079,0.79507,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,163825,0.40557,0.25746,0.92617,0.98293,0.98422,0.99293,0.9436,0.28577,0.21912,0.7948,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,165253,0.40068,0.25369,0.92675,0.98341,0.98406,0.99295,0.94377,0.28546,0.21894,0.79481,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,166678,0.40159,0.25405,0.92406,0.9838,0.98418,0.99295,0.94389,0.28524,0.21657,0.79494,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,168108,0.39859,0.25211,0.92373,0.98366,0.98395,0.993,0.94402,0.28489,0.21599,0.79495,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,169538,0.39727,0.25035,0.92042,0.98549,0.98245,0.99299,0.9448,0.28457,0.21465,0.79483,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
